ReceiptID;InvoiceDate;AccountID;AccountName;PersonID;PersonName;LaptopID;LaptopName;Total
66759;07/01/2025;23340;User1061;13289;Tạ Hoàng Khuê;110762;ASUS ROG Strix G17;35000000
64571;09/01/2025;28291;User1070;19082;Bạch Mai Chi;109174;Lenovo ThinkPad X13;35000000
65489;30/01/2025;26320;User1024;12966;Lê Văn Hoa;126543;Dell Vostro 15 3500;16000000
59313;30/01/2025;23183;User1050;15895;Lâm Chí Thành;115893;Acer Aspire 7 A715-75G;21000000
55253;02/02/2025;23102;User1020;12307;Vũ Minh Phương;108151;Acer Nitro 5 AN515-58;32000000
60798;02/02/2025;25491;User1010;13451;Lê Văn Anh;155884;Lenovo Chromebook Flex 5;12000000
62674;20/02/2025;22302;User1056;15215;Kiều Thanh Minh;108494;Acer Swift 5 SF514-55T-50QX;23000000
58914;02/03/2025;29288;User1078;10747;Phạm Hoàng Yến;191430;Acer Swift 3 SF314-59;20000000
65817;09/03/2025;27112;User1017;10911;Nguyễn Văn Yến;178914;HP ProBook 450;16000000
65217;14/03/2025;29540;User1053;14175;Diệp Gia Long;142838;MacBook Pro 16-inch (2019) 1TB;70000000
56065;24/03/2025;28291;User1070;19082;Bạch Mai Chi;197597;MacBook Pro 16-inch (2019) 512GB;60000000
61770;28/03/2025;29875;User1031;14410;Phạm Minh Anh;116597;MacBook Pro 13-inch M2 (2022);36000000
67808;04/04/2025;29658;User1008;13473;Huỳnh Ngọc An;198505;MacBook Pro 14-inch M3 Pro (2024);60000000
64283;16/04/2025;22678;User1019;10541;Huỳnh Ngọc Nhung;120242;ASUS ROG Strix Scar 15;45000000
54458;27/04/2025;28291;User1070;19082;Bạch Mai Chi;101445;Acer Nitro 5 AN515-45-R92M;29000000
62122;05/05/2025;26299;User1069;15974;Âu Dương Phát;165204;Lenovo Yoga Slim 7;28000000
68982;09/05/2025;22681;User1047;12634;Dương Hữu Linh;174542;ASUS VivoBook Flip 14;17000000
53907;15/05/2025;26863;User1044;16593;Lý Gia Bảo;131693;Lenovo ThinkPad X1 Carbon;40000000
67766;17/05/2025;22134;User1030;13102;Đặng Văn Thu;165991;ASUS TUF Dash F15;23000000
65829;28/05/2025;24516;User1012;12786;Đặng Văn Quang;159835;MacBook Pro Custom 21;50000000
58005;08/06/2025;29288;User1078;10747;Phạm Hoàng Yến;104906;Lenovo Legion 7i;46000000
